Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region
Nepal,50,114,202,219,210,376,369,406,463,579,703,931,1092,1329,Asia
OmÃ¡n,29,29,44,24,35,35,46,48,43,93,97,213,226,303,Asia
PakistÃ¡n,475,515,735,917,881,1015,1134,1261,1358,1748,2048,2402,2576,3264,Asia
Palestina,25,30,41,48,45,103,113,92,113,127,205,227,222,242,Asia
Qatar,27,19,21,29,14,102,76,111,147,203,296,255,170,200,Asia
Singapur,1449,1657,1820,2087,1644,2276,2149,2602,2815,3255,3543,3561,4016,4377,Asia
Siria,166,186,217,261,195,297,348,485,519,429,468,485,474,619,Asia
Sri Lanka,182,207,245,345,244,420,467,456,442,447,551,786,804,877,Asia
Tailandia,806,1069,1144,1442,1085,1734,1669,1860,2186,2489,2479,2901,3353,3639,Asia
TaiwÃ¡n,3551,3829,4336,5099,3972,5204,5983,6573,7282,8084,8487,10339,10835,11437,Asia
TayikistÃ¡n,21,17,22,26,36,44,71,59,102,103,110,99,128,143,Asia
Timor Oriental,0,0,1,9,4,17,10,1,1,7,0,11,6,4,Asia
TurkmenistÃ¡n,8,11,18,22,20,36,55,36,50,36,54,63,68,71,Asia
TurquÃ­a,1164,1444,1787,2434,1854,3677,4278,4907,5282,6211,8010,10008,10874,12582,Asia
UzbekistÃ¡n,161,184,253,312,272,338,471,473,489,548,538,598,845,1287,Asia
Vietnam,336,422,604,662,513,936,974,1222,1323,1662,2421,3784,3719,4609,Asia
Yemen,27,41,27,44,20,49,27,25,58,68,86,98,72,112,Asia
Australia,22493,25035,29278,34007,31499,41992,47513,53698,63398,67918,76746,84550,84225,81557,Oceanía
"Cocos, Islas",0,0,0,0,2,4,3,1,11,12,3,2,5,0,Oceanía
"Cook, Islas",0,0,0,0,1,1,0,0,4,10,0,3,1,1,Oceanía
"Fiyi, Islas",96,97,111,126,74,143,112,102,147,161,256,227,236,279,Oceanía
"Guam, Islas",0,0,0,0,3,-,2,2,2,3,2,0,1,3,Oceanía
Kiribati,4,11,4,2,1,31,9,35,8,30,18,35,37,29,Oceanía
"Marianas, Islas",0,0,0,0,0,2,0,0,0,0,2,0,0,0,Oceanía
"Marshall, Islas",5,3,7,3,12,9,6,8,9,22,17,18,29,28,Oceanía
"Micronesia, Rep.",1,3,9,7,11,28,18,19,10,17,48,47,40,53,Oceanía
Nauru,1,1,2,1,2,8,1,0,0,0,0,3,2,2,Oceanía
"Navidad, Islas",0,0,0,0,0,8,5,3,6,4,3,4,0,2,Oceanía
"Niue, Islas",0,0,0,0,5,7,0,0,0,0,1,1,0,0,Oceanía
"Norfolk, Islas",0,0,0,0,1,-,0,0,0,0,0,0,0,0,Oceanía
Nueva Caledonia,0,0,0,0,1,1,2,1,1,0,0,0,0,0,Oceanía
Nueva Zelandia,5272,5355,6215,7341,5630,6939,6904,8235,10136,11557,14058,16634,16219,15288,Oceanía
"Palaos, Rep.",0,0,1,9,3,13,15,19,25,39,20,46,30,32,Oceanía
PapÃºa Nueva Guinea,10,14,15,43,7,29,12,10,3,22,17,29,27,18,Oceanía
"Pitcairn, Islas",0,0,0,0,0,2,1,0,2,0,0,0,0,0,Oceanía
Polinesia Francesa,0,0,0,0,0,7,0,1,2,0,0,0,0,2,Oceanía
"SalomÃ³n, Islas",2,4,7,4,1,17,4,4,2,9,3,7,22,12,Oceanía
Samoa Americano,0,0,0,0,1,6,1,2,2,0,1,2,1,1,Oceanía
Samoa Occidental,8,14,9,17,10,13,10,8,7,24,14,28,30,40,Oceanía
Tokelau,0,0,0,0,0,3,2,0,1,0,0,1,0,0,Oceanía
Tonga,15,20,35,37,24,22,23,11,14,15,33,32,35,43,Oceanía
Tuvalu,1,0,4,1,1,18,3,3,0,13,2,2,3,6,Oceanía
Vanuatu,4,13,6,5,7,11,7,3,4,2,2,5,11,11,Oceanía
"Wallis y Futuna, Islas",0,0,0,0,1,2,3,2,0,2,1,0,0,1,Oceanía
Angola,47,80,128,253,175,211,241,200,286,342,393,290,288,265,África
Argelia,145,171,232,324,286,429,496,434,653,656,604,733,808,897,África
BenÃ­n,8,34,31,66,50,80,59,79,73,135,119,166,78,105,África
Botsuana,6,25,28,63,33,89,37,29,22,36,57,87,56,65,África
Burkina Faso,9,23,23,51,37,67,112,34,39,50,78,80,89,84,África
Burundi,6,9,13,17,21,41,37,29,31,39,39,27,33,41,África
Cabo Verde,32,50,50,65,38,56,66,66,81,71,107,138,122,160,África
CamerÃºn,90,163,171,220,183,364,292,293,566,455,516,696,439,528,África
"Centroafricana, Rep.",4,7,9,9,5,31,9,3,10,9,7,10,9,18,África
Chad,5,8,9,6,9,42,12,7,15,18,13,9,18,19,África
Comoras,2,0,1,0,4,10,6,1,2,12,4,6,5,3,África
"Congo, Rep.",35,48,90,73,80,132,138,113,76,85,84,128,105,79,África
"Congo, Rep. Dem.",64,96,117,95,80,141,85,76,133,155,163,165,186,216,África
Costa de Marfil,56,54,101,112,186,175,171,161,198,212,299,301,354,354,África
Djibouti,0,5,2,2,10,16,6,14,7,11,8,21,17,5,África
Egipto,470,547,776,957,722,1153,1438,1818,2051,2414,2741,2959,2983,3189,África
Eritrea,24,30,52,54,59,54,85,70,83,101,123,86,66,59,África
EtiopÃ­a,163,190,224,301,302,448,273,411,362,500,465,505,466,601,África
GabÃ³n,18,24,22,33,12,62,42,31,45,68,92,58,52,91,África
Gambia,9,9,18,19,20,47,15,24,12,34,29,53,29,67,África
Ghana,80,170,174,210,167,273,241,259,421,355,499,548,631,720,África
Guinea,92,175,276,283,224,305,307,464,427,495,645,567,463,434,África
Guinea Bissau,3,2,4,4,4,14,9,12,20,69,67,49,27,27,África
Guinea Ecuatorial,7,9,7,20,5,26,16,19,18,34,46,58,81,91,África
Kenia,369,433,462,743,595,849,746,730,807,1038,1193,1304,1308,1515,África
Lesoto,6,18,13,26,16,41,7,7,8,20,11,18,22,24,África
Liberia,32,34,49,64,39,75,32,50,43,74,131,118,88,145,África
Libia,35,43,39,56,53,69,37,66,94,118,107,83,104,112,África
Madagascar,23,27,17,49,34,45,51,19,17,35,74,66,73,84,África
MahorÃ©,0,0,0,0,2,3,2,3,0,0,0,0,0,0,África
Malaui,12,29,13,120,36,133,56,36,33,42,64,77,80,74,África
Mali,17,38,48,55,64,127,53,35,38,56,52,93,93,88,África
Marruecos,465,514,777,972,727,1097,1203,1182,1506,1630,1804,2257,2748,3216,África
Mauricio,51,93,75,114,79,145,100,125,146,162,180,203,282,285,África
Mauritania,2,9,7,13,11,28,18,9,12,27,16,38,13,36,África
Mozambique,10,46,64,90,62,96,46,46,50,96,97,108,109,102,África
Namibia,33,47,37,46,48,80,81,88,45,77,113,85,135,107,África
NÃ­ger,21,24,21,27,15,38,22,10,13,25,28,25,47,24,África
Nigeria,403,495,543,891,769,1262,1166,1147,1751,1899,2425,2347,2548,3115,África
"ReuniÃ³n, Islas",0,0,0,0,17,17,10,2,2,4,2,3,6,4,África
Ruanda,10,10,9,51,20,56,89,93,99,76,76,88,72,117,África
"Saharaui, Rep. Ãrabe",6,11,14,40,14,5,0,2,0,0,0,10,30,15,África
Santa Helena (Terr. Ultram. R. Unido),0,0,0,0,1,3,2,1,0,1,1,2,2,0,África
Santo TomÃ© y PrÃ­ncipe,9,5,10,10,6,16,12,7,13,13,16,16,14,18,África
Senegal,61,98,135,186,85,243,132,124,184,198,212,209,216,275,África
"Seychelles, Islas",4,10,18,8,18,14,10,13,8,14,10,27,18,29,África
Sierra Leona,37,24,46,46,40,56,49,53,54,54,75,53,83,88,África
Somalia,6,8,4,9,12,13,10,11,8,24,12,14,7,17,África
Suazilandia,45,28,14,42,16,33,19,13,42,24,12,30,120,29,África
SudÃ¡frica,4508,4486,4555,5162,3603,4861,5523,5884,5789,5972,6536,6851,7545,7976,África
SudÃ¡n,28,35,44,57,33,91,45,61,48,80,66,94,104,90,África
"SudÃ¡n del Sur, Rep.",0,0,0,0,0,0,0,2,0,4,1,1,0,0,África
Tanzania,64,127,77,156,128,186,150,206,150,236,286,194,248,271,África
Terr. BritÃ¡nico del OcÃ©ano Ãndico,0,0,0,0,0,6,7,2,2,0,2,1,0,2,África
Togo,20,34,37,33,31,74,33,60,86,83,116,70,96,97,África
TÃºnez,152,181,222,285,234,337,345,382,512,730,808,1078,1279,1440,África
Uganda,74,148,193,356,130,211,116,149,102,132,195,218,217,276,África
Zambia,48,66,76,143,88,158,98,85,109,191,185,194,226,167,África
Zimbabue,80,140,151,253,146,271,238,228,319,257,439,475,621,623,África
